,NUM,Site,SiteNum.x,SITE_ID,SingleCollection,NewOld,NumCollections.x,ParsonsCollectionSheets,NumCollectionsAtSite,MissingCollections,Notes,Surveyor,Site,Collections.x,East,North,Long,Lat,SurvReg,CA_Size1,CA_Size2,Occu_EA,Occu_LA,Area_EA,Pop_EA,Area_LA,Pop_LA,HM_TOTAL,SiteNum.y,Provenience,TempSite,ProvenienceNum,MissingData,Pars_TOTAL,Collections.y,NumCollections.y
15,15,TX-A-25,25,1025,FALSE,Old,3,3,3,0,,MHP 1967,TX-A-25,"Loc. 11; Tls. 375, 476",520548.4424,2165796.03,-98.80406817,19.58704038,TX,915,915,1,1,115,600,115,1200,178,25,"TX-A-25 [TX-A-32], MHP 1967, Loc. 11, TX-A-25 [TX-A-32], MHP 1967, Tl. 478",TX-A-32,"53, 55",FALSE,134,"Loc. 11, Tl. 478",2
16,16,TX-A-26,26,1026,TRUE,Old,1,1,1,0,,MHP 1967,TX-A-26,Tl. 613,522292.2345,2165976.867,-98.78743884,19.58865578,TX,314,314,1,1,10,75,10,150,612,26,"TX-A-26 [TX-A-29], MHP 1967, Tl. 613",TX-A-29,56,FALSE,72,Tl. 613,1
17,17,TX-A-27,27,1027,FALSE,Old,4,4,4,0,,MHP 1967,TX-A-27,"Tls. 554, 567, 569, 575",522460.1552,2165124.347,-98.78584787,19.58094963,TX,1358,1358,1,1,17,150,17,300,279,27,"TX-A-27 [TX-A-30], MHP 1967, Tl. 554, TX-A-27 [TX-A-30], MHP 1967, Tl. 567, TX-A-27 [TX-A-30], MHP 1967, Tl. 569, TX-A-27 [TX-A-30], MHP 1967, Tl. 575",TX-A-30,"57, 58, 59, 60",FALSE,354,"Tl. 554, Tl. 567, Tl. 569, Tl. 575",4
18,18,TX-A-28,28,1028,FALSE,Old,6,6,6,0,,MHP 1967,TX-A-28,"Loc. 14; Tls. 590, 806, 808, 845, 852",523816.4379,2165124.347,-98.77291612,19.58093381,TX,224,224,1,1,75,600,75,1200,204,28,"TX-A-28 [TX-A-31], MHP 1967, Loc. 14, TX-A-28 [TX-A-31], MHP 1967, Tl. 590, TX-A-28 [TX-A-31], MHP 1967, Tl. 806, TX-A-28 [TX-A-31], MHP 1967, Tl. 808, TX-A-28 [TX-A-31], MHP 1967, Tl. 845, TX-A-28 [TX-A-31], MHP 1967, Tl. 852",TX-A-31,"61, 62, 63, 64, 65, 66",FALSE,206,"Loc. 14, Tl. 590, Tl. 806, Tl. 808, Tl. 845, Tl. 852",6
19,19,TX-A-30,30,1030,FALSE,Old,7,7,7,0,,MHP 1967,TX-A-30,"Tls. 695, 712, 727, 752, 754, 760, 791",524358.951,2163651.811,-98.76776249,19.56761985,TX,713,713,1,1,100,1000,100,1500,251,30,"TX-A-30 [TX-A-37], MHP 1967, Tl. 695, TX-A-30 [TX-A-37], MHP 1967, Tl. 712, TX-A-30 [TX-A-37], MHP 1967, Tl. 727, TX-A-30 [TX-A-37], MHP 1967, Tl. 732, TX-A-30 [TX-A-37], MHP 1967, Tl. 754, TX-A-30 [TX-A-37], MHP 1967, Tl. 760, TX-A-30 [TX-A-37], MHP 1967, Tl. 791",TX-A-37,"67, 68, 69, 70, 71, 72, 73",FALSE,288,"Tl. 695, Tl. 712, Tl. 727, Tl. 753, Tl. 754, Tl. 760, Tl. 791",7
20,20,TX-A-31,31,1031,FALSE,Old,4,4,4,0,,MHP 1967,TX-A-31,"Tls. 632, 635, 665, 670",524229.7812,2162631.37,-98.76900712,19.55839965,TX,733,733,1,1,50,350,50,700,134,31,"TX-A-31 [TX-A-36], MHP 1967, Tl. 632, TX-A-31 [TX-A-36], MHP 1967, Tl. 635, TX-A-31 [TX-A-36], MHP 1967, Tl. 665, TX-A-31 [TX-A-36], MHP 1967, Tl. 670",TX-A-36,"74, 75, 76, 77",FALSE,154,"Tl. 632, Tl. 635, Tl. 665, Tl. 670",4
21,21,TX-A-34,34,1034,TRUE,Old,1,1,1,0,,MHP 1967,TX-A-34,Tl. 771,523222.2569,2163845.566,-98.77859724,19.56938445,TX,491,491,1,1,6,60,6,60,111,NA,NA,NA,NA,NA,NA,NA,NA
22,22,TX-A-36,36,1036,TRUE,Old,1,1,1,0,,MHP 1967,TX-A-36,Loc. 13,522356.8194,2163496.808,-98.78685249,19.56624263,TX,177,177,1,1,1,10,1,10,72,36,"TX-A-36 [TX-A-34], MHP 1967, Loc. 13",TX-A-34,79,FALSE,75,Loc. 13,1
23,23,TX-A-38,38,1038,FALSE,Old,2,2,2,0,,MHP 1967,TX-A-38,"Tl. 511, 515",520251.3519,2163148.049,-98.80692945,19.56311346,TX,689,689,1,1,65,325,65,650,35,NA,NA,NA,NA,NA,NA,NA,NA
24,24,TX-A-40,40,1040,FALSE,Old,8,11,8,3,,MHP 1967,TX-A-40,"Loc. 9; Tls. 103, 105, 111, 115, 369, 370, 378",517816.5015,2163096.381,-98.83014302,19.56266987,TX,4566,4566,1,1,100,1500,100,1500,412,40,"TX-A-40 [TX-A-24], MHP 1967, Tl. 103, TX-A-40 [TX-A-24], MHP 1967, Tl. 105, TX-A-40 [TX-A-24], MHP 1967, Tl. 111, TX-A-40 [TX-A-24], MHP 1967, Tl. 115",TX-A-24,"83, 84, 85, 86",FALSE,171,"Tl. 103, Tl. 105, Tl. 111, Tl. 115",4
67,NA,TX-A-40b,40.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,TX-A-40b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.1,"TX-A-40 [TX-A-24], MHP 1967, Just SW of Tl. 119, TX-A-40 [TX-A-24], MHP 1967, Tl. 119, TX-A-40 [TX-A-24], MHP 1967, Tl. 123",TX-A-24,"268, 267, 269",FALSE,12,"Just SW of Tl. 119, Tl. 119, Tl. 123",3
71,NA,TX-A-40c,40.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,TX-A-40c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.2,"TX-A-40 [TX-A-25], MHP 1967, Loc. 9, TX-A-40 [TX-A-25], MHP 1967, Sample #372, TX-A-40 [TX-A-25], MHP 1967, Sample #375, TX-A-40 [TX-A-25], MHP 1967, Sample #370, TX-A-40 [TX-A-25], MHP 1967, Tl. 388, TX-A-40 [TX-A-25], MHP 1967, Tl. 390",TX-A-25,"275, 271, 272, 270, 273, 274",FALSE,332,"Loc. 9, Sample # 372, Sample # 375, Sample #370, Tl. 388, Tl. 390",6
25,25,TX-A-42,42,1042,TRUE,Old,1,1,1,0,,JRP 1967,TX-A-42,Tl. 2,504163.2555,2156327.885,-98.9603237,19.50157745,TX,177,177,0,1,0,0,2,0,27,NA,NA,NA,NA,NA,NA,NA,NA
26,27,TX-A-44,44,1044,TRUE,Old,1,1,1,0,,JRP 1967,TX-A-44,1 collection without location #,506746.6511,2155462.447,-98.93570674,19.49374925,TX,500,333,1,1,2,40,2,40,59,44,"TX-A-44 [TX-A-1], JRP 1967, [No Collection Area Name]",TX-A-1,92,FALSE,3,[No Collection Area Name],1
27,28,TX-A-46,46,1046,FALSE,Old,2,3,2,1,,JRP 1967,TX-A-46,"Loc. 7, Tl. 4",508651.9054,2155798.289,-98.9175488,19.49677696,TX,480,480,0,1,0,0,20,200,17,NA,NA,NA,NA,NA,NA,NA,NA
68,NA,TX-A-46b,46.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,TX-A-46b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.5,"TX-A-46 [TX-A-3], Tl. 5",TX-A-3,280,FALSE,13,Tl. 5,1
28,29,TX-A-47,47,1047,TRUE,Old,1,1,1,0,,JRP 1967,TX-A-47,Tl. 6,507851.0528,2157270.824,-98.92517466,19.51008784,TX,185,100,0,1,0,0,5,100,26,NA,NA,NA,NA,NA,NA,NA,NA
29,30,TX-A-49,49,1049,TRUE,Old,1,1,1,0,,JRP 1967,TX-A-49,Tl. 1A,509620.6788,2157542.081,-98.90830768,19.51253147,TX,243,300,0,1,0,0,25,300,57,NA,NA,NA,NA,NA,NA,NA,NA
30,31,TX-A-52,52,1052,TRUE,Old,1,1,1,0,,JRP 1967,TX-A-52,Tl. 8,510227.7768,2153873.659,-98.90254143,19.47937625,TX,150,150,1,1,3,60,3,60,43,52,"TX-A-52 [TX-A-4], JRP 1967, Tl. 8",TX-A-4,97,FALSE,45,Tl. 8,1
31,32,TX-A-53,53,1053,TRUE,Old,1,1,1,0,,JRP 1967,TX-A-53,Tl. 12,510964.0445,2152904.885,-98.89553129,19.47061733,TX,314,314,1,1,25,500,25,500,109,53,"TX-A-53 [TX-A-9], JRP 1967, Tl. 12",TX-A-9,98,FALSE,58,Tl. 12,1
32,33,TX-A-56,56,1056,FALSE,Old,8,9,8,1,Tl. 17 is the missing collection but it has 2 sheets; one is included; the missing sheet may be included in the HM data,JRP 1967,TX-A-56,"Locs. A, I, J; Tls. 17, 18, 57, 69, 92",512559.2914,2157606.666,-98.8803001,19.51309878,TX,7208,7208,1,1,450,12000,450,25000,711,56,"TX-A-56 [TX-A-11], JRP 1967, Loc. A, TX-A-56 [TX-A-11], JRP 1967, Loc. I, TX-A-56 [TX-A-11], JRP 1967, Loc. J, TX-A-56 [TX-A-11], JRP 1967, Tl. 18, TX-A-56 [TX-A-11], JRP 1967, Tl. 57, TX-A-56 [TX-A-11], JRP 1967, Tl. 59, TX-A-56 [TX-A-11], JRP 1967, Tl. 92",TX-A-11,"99, 100, 101, 103, 104, 105, 106",FALSE,1132,"Loc. A, Loc. I, Loc. J, Tl. 18, Tl. 57, Tl. 59, Tl. 92",7
69,NA,TX-A-56b,56.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,TX-A-56b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.5,"TX-A-56 [TX-A-11], Tl. 17",TX-A-11,294,FALSE,41,Tl. 17,1
33,34,TX-A-57,57,1057,FALSE,Old,4,4,4,0,,JRP 1967,TX-A-57,"Loc. F; Tls. 66, 69, 70",515969.3736,2156030.794,-98.84781273,19.49883295,TX,10887,10887,1,1,50,200,50,400,251,57,"TX-A-57 [TX-A-17], JRP 1967, Tl. 66, TX-A-57 [TX-A-17], JRP 1967, Tl. 69, TX-A-57 [TX-A-17], JRP 1967, Tl. 70",TX-A-17,"108, 109, 110",FALSE,195,"Tl. 66, Tl. 69, Tl. 70",3
34,35,TX-A-58,58,1058,TRUE,Old,1,1,1,0,,JRP 1967,TX-A-58,Tl. 1,517319.1979,2154984.519,-98.8349586,19.48936632,TX,237,352,1,1,100,250,100,500,26,NA,NA,NA,NA,NA,NA,NA,NA
35,36,TX-A-59,59,1059,FALSE,Old,4,4,4,0,,JRP 1967,TX-A-59,"Tls. 4, 8, 9, 25",518920.9032,2154532.425,-98.8196999,19.48526612,TX,560,560,1,1,75,375,75,750,129,NA,NA,NA,NA,NA,NA,NA,NA
36,37,TX-A-60,60,1060,TRUE,Old,1,1,1,0,,JRP 1967,TX-A-60,Tl. 42,520522.6085,2154919.934,-98.80443288,19.48875227,TX,250,250,1,1,20,100,20,200,54,NA,NA,NA,NA,NA,NA,NA,NA
37,38,TX-A-61,61,1061,TRUE,Old,1,1,1,0,,JRP 1967,TX-A-61,Loc. AA,519838.0086,2154894.1,-98.81095691,19.48852573,TX,625,625,0,1,0,0,5,0,22,NA,NA,NA,NA,NA,NA,NA,NA
38,39,TX-A-64,64,1064,FALSE,Old,3,4,3,1,Tl. 76 is the missing collection but it has 2 sheets; one is included; the missing sheet may be included in the HM data,JRP 1967,TX-A-64,"Tls. 76, 80-82, 96",516815.4357,2157503.33,-98.83973672,19.51213352,TX,1334,1334,1,1,35,200,35,400,90,64,"TX-A-64 [TX-A-13], JRP 1967, Tl. 96, TX-A-64 [TX-A-13], JRP 1967, Tls. 80-82",TX-A-13,"120, 119",TRUE,39,"Tl. 96, Tls. 80-82",2
70,NA,TX-A-64b,64.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,TX-A-64b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.5,"TX-A-64 [TX-A-18], Tl. 76",TX-A-18,284,FALSE,38,Tl. 76,1
39,40,TX-A-65,65,1065,FALSE,Old,3,3,3,0,,JRP 1967,TX-A-65,"Loc. P; Tls. 100, 109",517848.794,2157606.666,-98.82988712,19.51305839,TX,677,677,1,1,25,150,25,300,59,65,"TX-A-65 [TX-A-14], JRP 1967, Loc. P, TX-A-65 [TX-A-14], JRP 1967, Tl. 100, TX-A-65 [TX-A-14], JRP 1967, Tl. 109",TX-A-14,"121, 122, 123",TRUE,62,"Loc. P, Tl. 100, Tl. 109",3
40,41,TX-A-66,66,1066,TRUE,Old,1,1,1,0,,JRP 1967,TX-A-66,Loc. T,518791.7334,2157438.745,-98.82090188,19.51153219,TX,100,100,1,1,50,200,50,400,53,66,"TX-A-66 [TX-A-15], JRP 1967, Loc. T",TX-A-15,124,TRUE,52,Loc. T,1
41,42,TX-A-69,69,1069,FALSE,Old,2,2,2,0,,JRP 1967,TX-A-69,"Tls. 247, 257",520309.4783,2159931.722,-98.80640996,19.53404662,TX,227,227,0,1,0,0,30,400,148,NA,NA,NA,NA,NA,NA,NA,NA
42,43,TX-A-70,70,1070,TRUE,Old,1,1,1,0,,JRP 1967,TX-A-70,Tls. 235-236,520606.5688,2158795.028,-98.80359052,19.52377114,TX,156,156,0,1,0,0,7,60,81,NA,NA,NA,NA,NA,NA,NA,NA
43,44,TX-A-72,72,1072,FALSE,Old,16,16,16,0,,JRP 1967,TX-A-72,"Locs. EE, KK; Tls. 189, 207, 212, 222, 225, 226-229, 241, 270, 279, 284, 301, 313, 333, 345",522531.1986,2158355.85,-98.78525144,19.51978138,TX,2375,2375,1,1,400,4000,400,8000,472,NA,NA,NA,NA,NA,NA,NA,NA
44,45,TX-A-75,75,1075,TRUE,Old,1,1,1,0,,JRP 1967,TX-A-75,Loc. DD,523816.4379,2155720.787,-98.7730349,19.49595306,TX,900,900,1,1,4,20,4,40,87,75,"TX-A-75 [TX-A-38], JRP 1967, Sample #771",TX-A-38,144,FALSE,74,Sample #771,1
45,46,TX-A-76,76,1076,TRUE,Old,1,1,1,0,,JRP 1967,TX-A-76,Tl. 136,521698.0535,2157270.824,-98.79320471,19.50998513,TX,177,177,0,1,0,0,15,250,64,NA,NA,NA,NA,NA,NA,NA,NA
46,47,TX-A-77,77,1077,TRUE,Old,1,1,1,0,,JRP 1967,TX-A-77,Tl. 130,520768.031,2156676.643,-98.80207487,19.50462535,TX,177,177,0,1,0,0,7,70,33,NA,NA,NA,NA,NA,NA,NA,NA
47,48,TX-A-78,78,1078,FALSE,Old,11,11,11,0,,JRP 1967,TX-A-78,"Loc. CC; Tls. 119, 151, 154, 160, 165, 170, 174, 177, 187; 1 collection wilhout location #",521956.3931,2156198.715,-98.79075505,19.50029351,TX,1738,1738,1,1,100,750,100,1500,322,NA,NA,NA,NA,NA,NA,NA,NA
48,49,TX-A-79,79,1079,FALSE,Old,3,3,3,0,,JRP 1967,TX-A-79,"Loc. M; Tls. 69, 73",522498.9061,2154971.602,-98.78559952,19.48919788,TX,137,NA,0,1,0,0,11,100,52,NA,NA,NA,NA,NA,NA,NA,NA
49,50,TX-A-80,80,1080,FALSE,Old,8,8,8,0,,JRP 1967,TX-A-80,"Locs. H, I, K, L; Tls. 9, 63, 67; 1 collection without location #",521530.1328,2155229.942,-98.79482834,19.49154323,TX,2485,2485,0,1,0,0,30,150,319,80,"TX-A-80 [TX-A-25], JRP 1967, [No Collection Area Name]",TX-A-25,168,FALSE,98,[No Collection Area Name],1
50,51,TX-A-81,81,1081,FALSE,Old,2,2,2,0,,JRP 1967,TX-A-81,"Locs. BB, Tl. 115",520548.4424,2155565.783,-98.80417968,19.49458863,TX,477,477,0,1,0,0,30,300,155,NA,NA,NA,NA,NA,NA,NA,NA
51,52,TX-A-84,84,1084,TRUE,Old,1,1,1,0,,JRP 1967,TX-A-84,Loc. F,522092.0213,2153279.478,-98.78949662,19.47391045,TX,625,625,1,1,0.9,15,0.9,15,31,NA,NA,NA,NA,NA,NA,NA,NA
52,53,TX-A-85,85,1085,TRUE,Old,1,1,1,0,,JRP 1967,TX-A-85,Loc. G,520696.9877,2154170.749,-98.80277936,19.48197996,TX,225,225,1,1,0.9,15,0.9,5,80,NA,NA,NA,NA,NA,NA,NA,NA
53,54,TX-A-86,86,1086,FALSE,Old,3,7,3,4,,JRP 1967,TX-A-86,"Locs. D, E; Tl. 47",520115.7236,2153666.987,-98.80832353,19.47743333,TX,494,494,0,1,0,0,20,300,87,86,"TX-A-86 [TX-A-20], JRP 1967, Loc. E",TX-A-20,174,FALSE,4,Loc. E,1
72,NA,TX-A-86b,86.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,TX-A-86b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.1,"TX-A-86 [TX-A-19], Loc. E",TX-A-19,287,FALSE,26,Loc. E,1
73,NA,TX-A-86c,86.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,TX-A-86c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.2,"TX-A-86 [TX-A-19], Tl. 34, TX-A-86 [TX-A-19], Tl. 39, TX-A-86 [TX-A-19], Tl. 53",TX-A-19,"285, 288, 286",FALSE,245,"Tl. 34, Tl. 39, Tl. 53",3
54,55,TX-A-87,87,1087,FALSE,Old,23,23,23,0,Tl. 51 in both TX-A-87 and TX-A-88; should be TX-A-88!! Also Tl. 53 should be Coatlichan as well,JRP 1967,TX-A-87,"Locs. A, B, C, D, E, H, K, O; Tls. 24, 28, 29, 30, 31, 32, 34, 37, 39, 41, 43, 49, 51, 53, 84",514167.4552,2153408.648,-98.86500452,19.47514977,TX,10565,10565,1,1,840,12000,840,23000,2340,87,"TX-A-87 [TX-A-10], JRP 1967, Loc. A, TX-A-87 [TX-A-10], JRP 1967, Loc. B, TX-A-87 [TX-A-10], JRP 1967, Loc. C, TX-A-87 [TX-A-10], JRP 1967, Loc. D, TX-A-87 [TX-A-10], JRP 1967, Loc. H, TX-A-87 [TX-A-10], JRP 1967, Loc. K, TX-A-87 [TX-A-10], JRP 1967, Loc. O, TX-A-87 [TX-A-10], JRP 1967, Tl. 24, TX-A-87 [TX-A-10], JRP 1967, Tl. 28, TX-A-87 [TX-A-10], JRP 1967, Tl. 29, TX-A-87 [TX-A-10], JRP 1967, Tl. 30, TX-A-87 [TX-A-10], JRP 1967, Tl. 31, TX-A-87 [TX-A-10], JRP 1967, Tl. 32, TX-A-87 [TX-A-10], JRP 1967, Tl. 37, TX-A-87 [TX-A-10], JRP 1967, Tl. 41, TX-A-87 [TX-A-10], JRP 1967, Tl. 43, TX-A-87 [TX-A-10], JRP 1967, Tl. 49, TX-A-87 [TX-A-10], JRP 1967, Tl. 84",TX-A-10,"176, 177, 178, 179, 181, 182, 183, 184, 185, 186, 187, 188, 189, 191, 193, 194, 195, 198",TRUE,2297,"Loc. A, Loc. B, Loc. C, Loc. D, Loc. H, Loc. K, Loc. O, Tl. 24, Tl. 28, Tl. 29, Tl. 30, Tl. 31, Tl. 32, Tl. 37, Tl. 41, Tl. 43, Tl. 49, Tl. 84",18
