NUM,Site,SiteNum,SITE_ID,SingleCollection,NewOld,NumCollections,ParsonsCollectionSheets,NumCollectionsAtSite,MissingCollections ,Notes,TempSite,Surveyor,Collections,East,North,Long,Lat,SurvReg,SurvRegNum,N_TX,TX,E_IX_Surrounds,XO_W_IX,CH_XO_IX,CH,CH_AM,Tenango,IX,IX_Surrounds,Confed,Pol_EA_num,Pol_LA_num,Pol_EA,Pol_LA,Collections,CA_Size1,CA_Size2,Occu_EA,Occu_LA,Area_EA,Pop_EA,Area_LA,Pop_LA,BO_AzI_CHA,BO_AzI_MIX,BO_AzI_CUL,BO_AzI_WST,BO_AzI_IND,BO_AzI_TOT,BO_PDM_A,BO_PDM_A1,BO_PDM_A2,BO_PDM_A3,BO_PDM_A1c,BO_PDM_A2c,BO_PDM_A3c,BO_PDM_A1g,BO_PDM_A2g,BO_PDM_A3g,BO_PDM_A1_TOT,BO_PDM_A2_TOT,BO_PDM_A3_TOT,BO_PDM_Ac_TOT,BO_PDM_Ag_TOT,BO_PDM_A_TOT,BO_PDM_B,BO_PDM_B1,BO_PDM_B2,BO_PDM_B_TOT,BO_PD_C,BO_PDM_IND_EA,BO_BOWL_A,BO_BOWL_A1,BO_BOWL_A2,BO_BOWL_A3,BO_BOWL_A4,BO_BOWL_A_TOT,BO_BOWL_B,BO_BOWL_C,BO_BOWL_G1,BO_BOWL_M,BO_BOWL_IND_EA,BO_BAS_A,BO_BAS_B,BO_BAS_C,BO_BAS_IND_EA,BO_A_TOT,BO_B_TOT,BO_C_TOT,AzII_BO,BO_PD_D,BO_PDM_D1D2,BO_PDM_D3,BO_PD_D4,BO_PDM_D_TOT,BO_PDM_E,BO_PDM_E1,BO_PDM_E2,BO_PDM_E3,BO_PDM_E4,BO_PDM_E_TOT,BO_PDM_F,BO_PDM_GR,BO_PDM_IND_LA,BO_DISH_P,BO_BOWL_D,BO_BOWL_E,BO_BOWL_F,BO_BOWL_G2,BO_BOWL_H,BO_BOWL_IND_LA,BO_BAS_D,BO_BAS_E,BO_BAS_F,BO_BAS_G,BO_BAS_H,BO_BAS_IND_LA,BO_PDM_IND,BO_BOWL_IND,BO_BAS_IND,BO_D_TOT,Az23_BO,BO_E_TOT,BO_F_TOT,BO_BowHBasG_TOT,AzIII_BO,AzIV_BO,CCPC_A,CCPC_B,CCPC_C,CCPC_D,CCPC_H,CCPC_I,CCPC_J,CCPC_K,AZPC_E,AZPC_F,AZPC_G,AZPC_L,BR_A,BR_B,BR_D,BR_E,BR_F,BR_G,BR_H,BR_I,BR_COPA_D,BR_EA_TOT,PR_COPA,BWR_AW,BWR_AW1,BWR_AW2,BWR_AW_TOT,BWR_AN,BWR_AN1,BWR_AN2,BWR_AN_TOT,BWR_A_TOT,BWR_B,BWR_B1,BWR_B2,BWR_B_TOT,BWR_C,BWR_C1,BWR_C2,BWR_C_TOT,BWR_D1,BWR_D2,BWR_D3,BWR_D_TOT,BWR_E1,BWR_E2,BWR_E3,BWR_E4,BWR_E_TOT,BWR_EA_TOT,BRI_A,BRI_B,BRI_C,BRI_D,BRI_PANEL,BRI_CANE,BRI_TOT,BR_C,BR_Late,BWR_Late,BWR_G,YR,BWYR,WR,GR,BRT
,TX-A-17b,17.1,,FALSE,NEW,1,,,-1,No site designated; western outskirts of Tepetitlan; far from TX-A-17,NO_SITE,MHP 1967,Sample #25-26,514303.0834,2164297.66,-98.86362965,19.57355435,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TX-A-17c,17.2,,FALSE,NEW,1,,,-1,Tl. 29 should be included in TX-A-17; there is a chance that Tl. 28 and 29 are mixed up,,,Tl. 29,514303.0834,2164297.66,-98.86362965,19.57355435,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,TX-A-18,18,1018,TRUE,Old,1,1,1,0,,TX-A-18,MHP 1967,Loc. 4,512610.9593,2165292.268,-98.87975622,19.58255419,TX,1,1,1,0,0,0,0,0,0,0,0,Acolhua,2,2,Chiautla,Chiautla,1,227,279,1,1,3,50,3,50,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,2,0,1,4,0,2,4,0,6,1,0,0,0,0,1,0,1,6,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,6,6,2,3,0,8,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,1,2,3,1,0,0,1,1,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0
11,TX-A-21,21,1021,FALSE,Old,4,8,4,4,Tls. 66 and 88 should be separated,TX-A-21,MHP 1967,"Tls. 43, 54, 66, 88",514290.1664,2166648.55,-98.86373493,19.59479964,TX,1,1,1,0,0,0,0,0,0,0,0,Acolhua,1,1,Tepetlaoztoc,Tepetlaoztoc,4,2612,2612,1,1,55,250,55,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,5,1,14,8,0,23,1,1,0,0,0,2,0,0,20,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,23,23,2,0,0,24,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,2,0,2,1,1,0,2,1,0,3,4,0,0,0,0,0,9,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0
,TX-A-21b,21.5,,FALSE,NEW,4,,,-4,NOT IN TX-A-21!!!!BELONGS TO TX-A-17; SHOULD BE SEPARATE???,,MHP 1967,Area A Loc. 1; Area A Loc. 2; Loc. 3; Tls. 51-2,514290.1664,2166648.55,-98.86373493,19.59479964,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,TX-A-22,22,1022,FALSE,Old,2,2,2,0,,TX-A-22,MHP 1967,"Tls. 85, 87",515543.1133,2165111.43,-98.85180009,19.58089914,TX,1,1,1,0,0,0,0,0,0,0,0,Acolhua,1,1,Tepetlaoztoc,Tepetlaoztoc,2,1202,1202,0,1,0,0,13,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,4,0,0,3,0,3,0,2,0,0,0,2,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,3,3,2,2,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,2,1,3,0,0,0,0,3,2,6,0,8,0,1,0,1,0,0,0,0,0,2,0,0,2,14,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1
13,TX-A-23,23,1023,TRUE,Old,1,1,1,0,,TX-A-23,MHP 1967,Tl. 97,515575.4058,2167798.161,-98.85146992,19.60517906,TX,1,1,1,0,0,0,0,0,0,0,0,Acolhua,1,1,Tepetlaoztoc,Tepetlaoztoc,1,1964,1964,1,1,18,100,18,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,1,0,10,4,0,14,0,3,0,0,0,3,0,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,3,0,0,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,2,0,1,3,0,0,0,0,0,5,0,0,0,0,0,0,0,23,0,0,3,0,0,0,0,1
14,TX-A-24,24,1024,FALSE,Old,22,22,22,0,,TX-A-24,MHP 1967,"Areas A, E; Locs. 6, 8; Tls. 92, 132, 157, 161, 163, 176, 196, 215, 271, 303, 305, 339, 345-346, 412, 445, 452, 461",517861.7109,2166816.471,-98.82967668,19.59628819,TX,1,1,1,0,0,0,0,0,0,0,0,Acolhua,1,1,Tepetlaoztoc,Tepetlaoztoc,21,9700,9700,1,1,450,6750,450,13500,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,1,0,0,3,3,0,20,5,25,1,5,0,1,0,0,0,1,4,3,0,0,0,1,2,0,6,5,29,4,49,4,39,33,0,76,23,19,4,0,0,46,3,45,65,0,2,1,2,0,1,0,0,0,0,0,0,0,3,8,1,78,78,47,5,1,113,50,0,1,0,0,3,1,0,0,0,18,2,2,2,4,2,0,0,0,0,1,0,9,0,10,11,10,31,0,0,1,1,32,10,24,4,38,1,5,0,6,0,0,2,2,1,1,0,0,2,80,0,0,0,0,0,0,0,124,2,1,12,0,0,0,8,19
15,TX-A-25,25,1025,FALSE,Old,3,3,3,0,,TX-A-25,MHP 1967,"Loc. 11; Tls. 375, 476",520548.4424,2165796.03,-98.80406817,19.58704038,TX,1,1,1,0,0,0,0,0,0,0,0,Acolhua,1,1,Tepetlaoztoc,Tepetlaoztoc,3,915,915,1,1,115,600,115,1200,0,0,0,0,0,0,0,2,2,0,1,0,0,1,4,0,4,6,0,1,5,10,0,22,1,23,3,4,0,1,2,0,1,4,0,7,0,0,0,0,1,1,1,14,24,11,54,1,1,2,0,4,0,2,0,0,0,2,1,6,3,0,1,0,1,0,1,0,0,1,0,0,0,0,2,0,0,5,5,3,2,1,7,8,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,0,0,0,0,0,0,7,0,4,7,3,14,1,0,1,2,16,8,17,5,30,2,3,0,5,8,4,3,15,1,2,0,0,3,69,0,0,0,0,0,0,1,16,0,0,0,0,0,0,0,1
16,TX-A-26,26,1026,TRUE,Old,1,1,1,0,,TX-A-26,MHP 1967,Tl. 613,522292.2345,2165976.867,-98.78743884,19.58865578,TX,1,1,1,0,0,0,0,0,0,0,0,Acolhua,1,1,Tepetlaoztoc,Tepetlaoztoc,1,314,314,1,1,10,75,10,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,0,6,0,0,6,0,6,0,3,0,0,0,3,2,12,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,7,3,2,0,8,14,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,2,0,0,2,0,2,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,2,0,1,0,3,10
